id,investor_id,property_id,date,amount,comment
pay_1769477181663,inv_1765209461237,prop_1765238539013,2025-12-20,1909,Dividend
pay_1769477228641,inv_1765209461237,prop_1765238449259,2025-12-20,910,Dividend
pay_1769477421511,inv_1765209461237,prop_1769477255775,2026-01-22,2000,Dividend
pay_1769477602285,inv_1766189711235,prop_1765537486682,2026-01-27,7450,Dividend
pay_1772788402300,inv_1765209461237,prop_1765238539013,2026-03-06,1303,Dividend
pay_1772788433025,inv_1765209461237,prop_1765238449259,2026-03-06,1208,Dividend
