id,name,location,image_url,status,airbnb_url,ical_url,work_stages
prop_1765238449259,21 STELS (Aeris),QA Glamping,https://a0.muscache.com/im/pictures/hosting/Hosting-1531605802283764129/original/321ce24b-c973-44eb-9df6-25ada88eebd6.jpeg?im_w=1440,Active,https://www.airbnb.com.ua/rooms/1531605802283764129?guests=1&adults=1&s=67&unique_share_id=6519d763-871e-4112-b560-a9ec77fbadce,,"[{""id"":""ws_1_1765238449259"",""name"":""Construction"",""status"":""Completed"",""weight"":40,""percentage"":100,""lastUpdated"":""2025-12-09""},{""id"":""ws_2_1765238449259"",""name"":""Instalation"",""status"":""Completed"",""weight"":30,""percentage"":100,""lastUpdated"":""2025-12-09""},{""id"":""ws_3_1765238449259"",""name"":""Interior"",""status"":""Not Started"",""weight"":20,""percentage"":100,""lastUpdated"":""2025-12-09""},{""id"":""ws_4_1765238449259"",""name"":""Marketing"",""status"":""In Progress"",""weight"":10,""percentage"":34,""lastUpdated"":""2025-12-09""}]"
prop_1765238539013,11 MD (River Wood),QA Glamping,https://a0.muscache.com/im/pictures/hosting/Hosting-1547012166600501690/original/fca357a6-4480-4869-b4d7-a7db4d259094.jpeg?im_w=1440,Active,https://www.airbnb.com.ua/rooms/1547012166600501690?guests=1&adults=1&s=67&unique_share_id=c97a2ae2-bddf-411d-8d8f-ce576eac59e5,,"[{""id"":""ws_1_1765238539013"",""name"":""Construction"",""status"":""Completed"",""weight"":40,""percentage"":100,""lastUpdated"":""2025-12-09""},{""id"":""ws_2_1765238539013"",""name"":""Instalation"",""status"":""Completed"",""weight"":30,""percentage"":100,""lastUpdated"":""2025-12-09""},{""id"":""ws_3_1765238539013"",""name"":""Interior"",""status"":""Completed"",""weight"":20,""percentage"":100,""lastUpdated"":""2025-12-09""},{""id"":""ws_4_1765238539013"",""name"":""Marketing"",""status"":""In Progress"",""weight"":10,""percentage"":33,""lastUpdated"":""2025-12-09""}]"
prop_1765238669785,In progress 2 STELS,Kemp,https://a0.muscache.com/im/pictures/hosting/Hosting-1531605802283764129/original/7078eded-c557-4134-9f5b-00a9385ae296.jpeg?im_w=1200,In Progress,,,"[{""id"":""ws_1_1765238669785"",""name"":""Construction"",""status"":""Completed"",""weight"":40,""percentage"":100,""lastUpdated"":""2025-12-09""},{""id"":""ws_2_1765238669785"",""name"":""Instalation"",""status"":""In Progress"",""weight"":30,""percentage"":3,""lastUpdated"":""2025-12-09""},{""id"":""ws_3_1765238669785"",""name"":""Interior"",""status"":""Not Started"",""weight"":20,""percentage"":0,""lastUpdated"":""2025-12-09""},{""id"":""ws_4_1765238669785"",""name"":""Marketing"",""status"":""In Progress"",""weight"":10,""percentage"":6,""lastUpdated"":""2025-12-09""}]"
prop_1765238780593,In progress 3 STELS,Kemp,https://a0.muscache.com/im/pictures/hosting/Hosting-1531605802283764129/original/7078eded-c557-4134-9f5b-00a9385ae296.jpeg?im_w=1200,In Progress,,,"[{""id"":""ws_1_1765238780593"",""name"":""Construction"",""status"":""Completed"",""weight"":40,""percentage"":100,""lastUpdated"":""2025-12-09""},{""id"":""ws_2_1765238780593"",""name"":""Instalation"",""status"":""Not Started"",""weight"":30,""percentage"":1,""lastUpdated"":""2025-12-09""},{""id"":""ws_3_1765238780593"",""name"":""Interior"",""status"":""Not Started"",""weight"":20,""percentage"":0,""lastUpdated"":""2025-12-09""},{""id"":""ws_4_1765238780593"",""name"":""Marketing"",""status"":""In Progress"",""weight"":10,""percentage"":2,""lastUpdated"":""2025-12-09""}]"
prop_1765537486682,2 MD - LakeWood,Polna,https://a0.muscache.com/im/pictures/hosting/Hosting-1236939148249754962/original/f73f780c-45f1-4847-82e2-655b5c38c43b.jpeg?im_w=1200,Paused,https://www.airbnb.com.ua/rooms/1236939148249754962?guests=1&adults=1&s=67&unique_share_id=0e81855d-d5f5-416c-a26b-879dd2d7d32d,,"[{""id"":""ws_1_1765537486682"",""name"":""Construction"",""status"":""Completed"",""weight"":40,""percentage"":100,""lastUpdated"":""2025-12-12""},{""id"":""ws_2_1765537486682"",""name"":""Renovation"",""status"":""Completed"",""weight"":30,""percentage"":100,""lastUpdated"":""2025-12-12""},{""id"":""ws_3_1765537486682"",""name"":""Interior"",""status"":""Completed"",""weight"":20,""percentage"":100,""lastUpdated"":""2025-12-12""},{""id"":""ws_4_1765537486682"",""name"":""Launch Prep"",""status"":""Completed"",""weight"":10,""percentage"":100,""lastUpdated"":""2025-12-12""}]"
prop_1765646840190,TOPOL,Kemp,https://optim.tildacdn.com/tild6536-3535-4766-b333-623362383939/-/format/webp/100051.JPG.webp,Active,,,"[{""id"":""ws_1_1765646840190"",""name"":""Construction"",""status"":""Not Started"",""weight"":40,""percentage"":1,""lastUpdated"":""2025-12-13""},{""id"":""ws_2_1765646840190"",""name"":""Renovation"",""status"":""Not Started"",""weight"":30,""percentage"":0,""lastUpdated"":""2025-12-13""},{""id"":""ws_3_1765646840190"",""name"":""Interior"",""status"":""Not Started"",""weight"":20,""percentage"":0,""lastUpdated"":""2025-12-13""},{""id"":""ws_4_1765646840190"",""name"":""Launch Prep"",""status"":""Not Started"",""weight"":10,""percentage"":0,""lastUpdated"":""2025-12-13""}]"
prop_1767968694402,Topol 2,Kemp CZ,https://optim.tildacdn.com/tild6536-3535-4766-b333-623362383939/-/format/webp/100051.JPG.webp,In Progress,,,"[{""id"":""ws_1_1767968694402"",""name"":""Construction"",""status"":""Not Started"",""weight"":40,""percentage"":6,""lastUpdated"":""2026-01-09""},{""id"":""ws_2_1767968694402"",""name"":""Renovation"",""status"":""Not Started"",""weight"":30,""percentage"":0,""lastUpdated"":""2026-01-09""},{""id"":""ws_3_1767968694402"",""name"":""Interior"",""status"":""Not Started"",""weight"":20,""percentage"":3,""lastUpdated"":""2026-01-09""},{""id"":""ws_4_1767968694402"",""name"":""Launch Prep"",""status"":""Not Started"",""weight"":10,""percentage"":6,""lastUpdated"":""2026-01-09""}]"
prop_1769477255775,KEMP,Kemp,https://www.pitchup.com/_cfi/cdn-cgi/image/format=auto%2Cfit=cover%2Cquality=30%2Cw=1080%2Ch=810/images/5/image/private/s--am8_Duxh--/c_limit%2Ch_2400%2Cw_3200/e_improve%2Cfl_progressive/q_auto/b_rgb:000%2Cg_south_west%2Cl_pitchup.com_wordmark_white_watermark%2Co_15/v1759659459/kemp-carlsbad/1822499.jpg,Paused,,,"[{""id"":""ws_1_1769477255775"",""name"":""Construction"",""status"":""Not Started"",""weight"":40,""percentage"":46,""lastUpdated"":""2026-01-27""},{""id"":""ws_2_1769477255775"",""name"":""Renovation"",""status"":""Not Started"",""weight"":30,""percentage"":55,""lastUpdated"":""2026-01-27""},{""id"":""ws_3_1769477255775"",""name"":""Interior"",""status"":""Not Started"",""weight"":20,""percentage"":56,""lastUpdated"":""2026-01-27""},{""id"":""ws_4_1769477255775"",""name"":""Launch Prep"",""status"":""Not Started"",""weight"":10,""percentage"":63,""lastUpdated"":""2026-01-27""}]"
prop_1771838428660,Model 1,Kemp,https://framerusercontent.com/images/hd7wAXFaWknqVtZZDQZOsDql3c.jpg?scale-down-to=1024&width=1610&height=1373,Active,,,"[{""id"":""ws_1_1771838428660"",""name"":""Construction"",""status"":""Completed"",""weight"":40,""percentage"":100,""lastUpdated"":""2026-02-23""},{""id"":""ws_2_1771838428660"",""name"":""Renovation"",""status"":""In Progress"",""weight"":30,""percentage"":93,""lastUpdated"":""2026-02-23""},{""id"":""ws_3_1771838428660"",""name"":""Interior"",""status"":""Completed"",""weight"":20,""percentage"":100,""lastUpdated"":""2026-02-23""},{""id"":""ws_4_1771838428660"",""name"":""Launch Prep"",""status"":""Completed"",""weight"":10,""percentage"":95,""lastUpdated"":""2026-02-23""}]"
