id,investor_id,property_id,amount,equity_percentage,date,model_description
invst_1765238877446,inv_1765209461237,prop_1765238539013,45000,30,2025-08-30,Investment to Swipe Scape
invst_1765238939450,inv_1765209461237,prop_1765238449259,43000,30,2025-09-01,Stels First Inside Investment
invst_1765238990709,inv_1765209461237,prop_1765238669785,43000,30,2025-12-01,
invst_1765239027550,inv_1765209461237,prop_1765238780593,43000,30,2025-12-01,
invst_1765646899669,inv_1765646686213,prop_1767968694402,15000,12,2025-12-19,Property invest
invst_1767968574740,inv_1765646686213,prop_1765646840190,15000,12,2026-01-09,
invst_1769476465025,inv_1766189711235,prop_1765537486682,68000,25,2024-10-15,NVP Round
invst_1769477302802,inv_1765209461237,prop_1769477255775,60000,33,2025-06-20,
invst_1771838658159,inv_1771838046120,prop_1771838428660,26000,15,2026-02-14,
